CustomerID,Recency,Frequency,Monetary,Cluster
13077,2,4,728.02,1
13078,4,26,12627.94,1
13079,5,5,220.1,0
13080,180,1,58.08,2
13081,12,11,28337.38,1
13082,127,9,3613.63,0
13083,5,2,303.75,0
13085,158,2,416.08,2
13089,3,97,58762.08,1
13090,9,14,8910.82,1
13091,29,1,345.82,2
13092,71,5,477.83,0
13093,276,8,7832.47,0
13094,22,12,1927.32,1
13095,71,1,74.4,2
13097,33,10,6003.22,1
13098,2,28,28882.44,1
13099,100,1,207.36,2
13101,235,1,101.19,2
13102,2,24,6424.09,1
13103,40,1,243.94,2
13104,4,6,1098.48,1
13106,134,1,76.5,2
13107,45,4,1531.62,0
13108,373,1,350.06,2
13109,60,2,786.54,0
13110,32,7,1488.67,0
13113,1,24,12245.96,1
13115,12,4,2294.78,1
13116,139,1,501.14,2
13117,22,8,984.91,0
13118,20,5,1197.81,0
13120,239,1,30.6,2
13121,270,1,283.73,2
13122,95,2,922.39,0
13124,90,3,3756.33,0
13126,5,8,2099.64,1
13127,78,1,259.17,2
13130,95,1,64,2
13131,24,3,1073.3,0
13132,262,1,77.3,2
13133,274,2,109.8,2
13134,86,4,1793.58,0
13135,197,1,3096,0
13136,57,5,2607.61,0
13137,11,8,3603.29,1
13138,23,6,962.39,0
13139,17,7,5064.94,1
13140,109,3,422.47,0
13141,85,5,2388.75,0
13142,20,1,307.09,2
13144,333,1,110.95,2
13145,40,4,618.52,0
13146,27,1,228.91,2
13147,11,4,712.8,0
13148,30,12,3683.26,1
13149,15,4,1676.06,0
13151,296,1,1257.87,2
13153,6,1,486.22,0
13155,34,4,971.76,0
13157,50,4,1741.22,0
13158,95,4,1201.06,0
13159,9,4,1429.35,0
13160,23,1,91.8,2
13161,314,1,112.75,2
13162,123,4,1688.29,0
13165,47,2,1021.48,0
13166,284,1,417.2,2
13167,19,4,791.33,0
13168,37,4,1299.59,0
13169,64,2,712.88,0
13170,27,1,108.81,2
13171,22,3,468.41,0
13173,5,2,353.65,0
13174,17,3,2742.82,0
13176,47,1,481.49,2
13177,65,1,282.45,2
13178,27,11,5725.47,1
13182,46,1,121.18,2
13183,8,9,3957.78,1
13184,15,10,1668.95,1
13185,268,1,71.4,2
13186,40,3,1575.89,0
13187,338,1,236.02,2
13188,12,1,114.6,2
13189,19,2,260.68,0
13192,96,2,911.94,0
13193,62,1,112.08,2
13194,136,1,60.7,2
13196,12,4,1797.78,0
13198,11,6,3401.24,1
13199,4,38,9817.12,1
13200,20,4,870.09,0
13203,10,4,869.46,0
13207,16,2,250.26,0
13208,59,6,1217.65,0
13209,31,8,5891.61,1
13210,94,1,353.48,2
13211,11,3,1095.42,0
13212,20,3,786.83,0
13213,57,5,1520.58,0
13216,268,1,333.74,2
13217,123,3,533.98,0
13218,128,1,62.64,2
13220,79,4,819.29,0
13221,241,2,847.41,2
13223,201,2,163.2,2
13224,61,2,2155.95,0
13225,4,7,6463.84,1
13226,274,1,108.21,2
13227,202,1,257.7,2
13228,82,1,358,2
13229,226,1,160.95,2
13230,5,14,2755.63,1
13232,13,7,1328.35,1
13233,75,2,605.12,0
13235,213,1,1031.07,2
13236,25,2,744.85,0
13238,18,4,700.73,0
13239,262,1,329.56,2
13240,97,4,663.65,0
13242,113,3,270.4,2
13243,204,1,585.12,2
13244,93,1,121.74,2
13245,51,1,430.5,2
13246,19,6,1961.52,1
13247,18,4,501.12,0
13248,125,2,465.68,2
13249,93,3,711.41,0
13253,157,2,1030.4,0
13255,10,2,399.51,0
13258,12,3,672.83,0
13259,62,1,283.18,2
13260,62,1,557.62,2
13261,269,2,944.1,2
13262,264,1,200.29,2
13263,2,35,7436.93,1
13265,54,5,2092.66,0
13266,12,12,3834.26,1
13267,3,19,4521.49,1
13268,18,11,3174.75,1
13269,2,15,5343.28,1
13270,367,1,590,2
13271,38,1,211.49,2
13272,32,2,276.56,0
13273,114,1,138.98,2
13276,64,2,590.93,0
13277,16,4,258.4,0
13278,41,1,542.73,2
13279,79,1,137.75,2
13280,123,3,798.46,0
13282,19,3,1132.14,0
13283,60,2,93.66,2
13284,331,1,201.19,2
13285,24,4,2709.12,0
13291,156,1,361.11,2
13292,39,2,578.94,0
13294,190,2,873.74,2
13295,360,1,201.2,2
13296,138,1,87.4,2
13297,8,4,2089.85,1
13298,2,1,360,0
13299,269,1,142.5,2
13300,170,1,371.89,2
13301,104,4,618.09,0
13302,156,1,63.75,2
13304,352,1,300.42,2
13305,5,10,2000.86,1
13307,121,1,15,2
13308,23,3,1385.51,0
13309,8,5,1456.79,1
13310,29,3,1132.03,0
13311,5,2,598.57,0
13313,23,5,1555.32,0
13314,2,3,775.94,0
13316,38,4,5732.93,0
13317,67,6,2273.68,0
13318,2,3,640.76,0
13319,6,26,10845.55,1
13320,79,4,1532.2,0
13321,73,2,567.36,0
13322,18,1,199.48,2
13323,4,5,787.85,1
13324,37,10,7121.95,1
13325,82,1,675.3,2
13327,39,8,3627.77,1
13328,317,1,1308.48,2
13329,32,2,789,0
13330,93,3,1140.93,0
13332,15,1,350.9,2
13334,83,3,3502.32,0
13336,78,1,795.12,2
13338,158,1,487.02,2
13339,201,1,860.12,2
13340,46,7,10736.48,1
13341,261,1,775.85,2
13343,178,1,353.43,2
13344,68,3,2511.69,0
13345,288,1,389.5,2
13347,71,1,341.36,2
13348,65,1,233.76,2
13349,11,1,247.32,2
13350,17,2,979.12,0
13351,67,1,373.94,2
13352,61,1,397.98,2
13354,72,1,743.53,2
13355,123,1,674.7,2
13356,81,1,768.24,2
13357,258,1,609.4,2
13358,269,1,439.03,2
13359,64,1,439.56,2
13362,10,4,3090.74,1
13363,18,2,992.5,0
13364,72,1,134.96,2
13365,34,2,2225.37,0
13366,51,1,56.16,2
13368,257,2,623.4,2
13369,366,1,308.28,2
13370,372,1,754.87,2
13372,90,1,378.64,2
13373,61,3,3312.25,0
13375,89,1,778.65,2
13376,100,3,1019.76,0
13379,27,3,572.56,0
13381,32,6,3639.31,1
13382,281,1,222.99,2
13384,31,7,4151.93,1
13385,330,1,534.57,2
13388,132,2,677.1,2
13389,12,3,797.96,0
13390,75,1,544.08,2
13391,204,1,59.8,2
13394,2,8,2520.02,1
13395,186,1,307.72,2
13396,30,2,1360.99,0
13397,73,5,1544.13,0
13398,193,1,457.34,2
13402,128,2,621.23,2
13403,18,1,75,2
13404,2,2,252.49,0
13405,75,3,572.451,0
13408,2,62,28117.04,1
13410,25,5,1003.06,0
13411,108,1,213.55,2
13414,134,3,1390.5,0
13416,44,2,712.5,0
13417,5,2,640.83,0
13418,12,18,6127.43,1
13419,64,1,221.06,2
13420,150,2,159.85,2
13421,41,2,1833.71,0
13422,65,1,2626.3,0
13425,109,3,1624.21,0
13426,1,10,3641.32,1
13427,20,3,582.6,0
13428,11,1,201.78,2
13429,11,4,1006.8,0
13430,19,2,679.45,0
13431,68,2,1269.1,0
13434,75,2,534.24,0
13435,6,7,3809.89,1
13436,2,1,196.89,0
13437,15,7,3408.06,1
13439,256,1,283.71,2
13441,92,1,296.64,2
13447,24,3,1129.14,0
13448,17,6,3534.69,1
13449,24,1,291.88,2
13450,27,6,2043.72,0
13451,27,5,2898.26,0
13452,260,2,590,2
13453,166,2,356.98,2
13455,25,2,1058.34,0
13456,18,6,1766.72,1
13458,8,14,9646.57,1
13460,30,2,183.44,2
13461,39,3,1445,0
13462,253,1,151.5,2
13464,59,1,674.68,2
13466,185,1,307.9,2
13467,11,2,1071.91,0
13468,2,37,5704.97,1
13470,100,2,165,2
13471,2,4,2501.84,1
13473,61,2,422.64,2
13474,237,1,226.84,2
13475,192,4,1431.78,0
13476,179,2,1238.47,0
13477,38,6,1454.58,0
13479,201,2,300.95,2
13481,46,5,1804.56,0
13482,233,1,184.64,2
13483,66,1,140.34,2
13484,242,1,313.8,2
13485,234,1,454.24,2
13486,79,3,1122.41,0
13487,58,3,575.4,0
13488,18,13,8968.31,1
13489,106,4,449.52,0
13491,52,10,1215.82,0
13494,312,1,316.26,2
13495,8,5,2044.87,1
13496,11,2,653.33,0
13497,283,2,348.05,2
13499,18,5,1159.11,0
13500,24,3,1166.77,0
13502,17,3,292,0
13503,72,1,216.85,2
13504,65,1,295.93,2
13506,317,2,458.52,2
13507,4,4,2479.16,1
13508,244,1,110.97,2
13509,9,7,979.72,1
13510,2,4,1791.56,1
13512,261,1,251.21,2
13513,127,1,205.1,2
13514,74,1,152.2,2
13515,73,4,891.12,0
13516,22,3,1389.41,0
13517,60,3,2128.42,0
13518,86,1,627.16,2
13519,79,1,122.75,2
13521,2,3,1071.73,1
13522,31,1,125.8,2
13523,34,5,3964.88,1
13524,41,5,680.18,0
13525,15,2,628.78,0
13527,34,7,2242.36,1
13529,79,2,307.76,2
13531,206,2,483.8,2
13532,34,1,210.31,2
13533,183,3,269.09,2
13534,3,25,5870.08,1
13536,2,7,3444.39,1
13538,44,7,1280.85,0
13539,86,3,631.34,0
13544,40,2,276.06,2
13546,13,3,621.09,0
13548,97,2,678.16,0
13549,26,7,918.2,0
13551,320,1,91.8,2
13552,67,12,3740.07,1
13555,74,4,4098.88,0
13557,29,2,584.06,0
13558,6,4,594.52,0
13560,8,1,171.42,2
13561,216,1,141.86,2
13562,82,3,1799.33,0
13563,85,2,777.53,0
13564,145,3,1724.67,0
13565,20,2,240.22,0
13566,41,2,856.84,0
13568,174,1,187.05,2
13569,18,2,338.62,0
13570,244,1,239.49,2
13571,13,12,2088.94,1
13572,206,1,1384.25,2
13573,51,2,290.25,2
13575,24,5,732.07,0
13576,11,18,6717.34,1
13577,26,4,1687.6,0
13579,15,2,467.04,0
13581,310,1,118,2
13583,156,1,781.03,2
13584,307,1,142.4,2
13587,64,1,712.4,2
13588,16,9,2478.95,1
13589,15,2,379.65,0
13590,12,6,1981.92,1
13591,65,3,1117.13,0
13592,36,4,247.96,0
13593,109,5,2011.88,0
13594,53,1,396.97,2
13596,6,2,664.11,0
13598,48,1,160.04,2
13599,2,21,5149.92,1
13600,313,1,219.52,2
13601,46,2,693.32,0
13602,65,1,428.89,2
13603,27,1,164.34,2
13606,30,3,276.75,0
13607,41,1,675.51,2
13610,13,7,1082.33,1
13611,90,3,1154.4,0
13614,25,4,1585.46,0
13615,319,1,417.69,2
13617,41,3,544.18,0
13618,174,1,177.34,2
13621,117,1,213.85,2
13623,31,5,727.74,0
13626,253,1,257.23,2
13627,60,5,1638.47,0
13629,24,11,7792.36,1
13630,6,7,2031.78,1
13631,100,11,3070.42,1
13632,25,5,2118.93,0
13634,34,5,1547.36,0
13635,68,1,1071.03,2
13636,37,5,949.12,0
13637,53,3,804.3,0
13638,16,1,122.64,2
13639,75,1,1033.34,2
13642,216,1,312.28,2
13643,32,3,519.44,0
13644,17,4,2624.26,0
13645,121,1,252.1,2
13647,10,4,1648.12,0
13649,257,2,346.6,2
13650,17,6,1836.34,1
13651,36,2,94.2,2
13652,46,3,1095.08,0
13654,44,6,2707.33,0
13655,115,2,932.97,0
13656,165,2,379.65,2
13657,11,2,382.14,0
13658,10,5,2639.17,1
13659,206,2,1563,0
13662,86,3,881.26,0
13663,180,1,189.47,2
13666,61,3,84.65,2
13667,150,1,299.05,2
13668,3,21,6309.83,1
13669,51,2,218.55,2
13670,76,1,349.7,2
13672,302,2,186.39,2
13673,19,2,387.44,0
13675,152,2,486.82,2
13678,152,1,232.6,2
13680,2,4,3719.12,1
13681,18,4,827.83,0
13682,188,1,59.5,2
13684,286,1,65.13,2
13685,3,7,3119.44,1
13686,183,1,72,2
13689,64,1,910,2
13690,60,1,172.25,2
13692,25,3,1488.32,0
13694,4,50,65039.62,1
13695,32,15,2504.13,1
13697,39,1,151.3,2
13699,156,1,308.58,2
13700,27,10,2248.63,1
13703,319,1,99.5,2
13704,6,9,2308.06,1
13705,8,3,711.86,0
13706,303,1,330.79,2
13707,268,2,806.41,2
13708,272,1,285.33,2
13709,4,13,6307.65,1
13710,32,1,180.48,2
13711,219,2,252.06,2
13712,247,1,228.84,2
13715,282,5,1077.39,0
13716,270,1,138.28,2
13717,33,6,1445.01,0
13718,247,2,306.55,2
13719,16,5,1041.68,0
13720,117,4,799.9,0
13721,37,1,524.14,2
13722,132,3,2375.41,0
13723,218,1,199.85,2
13725,50,8,1980.56,0
13726,39,2,1079.66,0
13727,29,2,333.48,0
13728,37,6,1016.14,0
13730,136,2,752.6,2
13731,220,2,610.59,2
13732,29,1,491.86,2
13735,25,4,2883.54,0
13736,6,2,729.8,0
13737,201,1,339.6,2
13739,19,1,216.9,2
13740,241,1,350.75,2
13741,72,3,668.43,0
13742,17,12,3107.87,1
13743,3,7,1341.6,1
13744,96,2,1080.52,0
13745,163,1,300.04,2
13747,374,1,79.6,2
13748,96,5,948.25,0
13750,54,5,1647.26,0
13751,289,1,296.25,2
13752,125,6,1175.38,0
13753,288,1,741.26,2
13754,152,2,282.6,2
13755,4,9,2108.06,1
13756,3,14,5189.52,1
13758,12,7,3190.55,1
13759,34,2,659.41,0
13760,55,2,286.79,2
13761,51,2,1070.65,0
13762,219,1,306.72,2
13763,64,1,1714.96,0
13764,71,3,1519.42,0
13767,3,37,17220.36,1
13769,3,10,2796.51,1
13771,65,4,2634.45,0
13772,34,3,1122.63,0
13774,82,1,345,2
13777,1,33,25977.16,1
13778,104,1,178.7,2
13780,8,2,360.01,0
13781,251,1,127.84,2
13782,13,6,908.86,0
13784,10,11,2462.79,1
13786,368,1,230.4,2
13787,76,2,309.04,2
13790,5,1,348.8,0
13791,128,2,1516,0
13792,67,2,195.55,2
13798,2,57,37153.85,1
13799,117,2,688.86,2
13800,310,1,558.32,2
13801,67,1,324.8,2
13802,139,3,4599.42,0
13803,256,1,277.07,2
13804,31,7,2588.39,1
13805,53,2,924.6,0
13806,64,1,256.38,2
13807,368,1,112.6,2
13808,6,5,1747.66,1
13819,302,3,1140.35,0
13821,145,2,385.64,2
13822,6,2,632,0
13823,19,2,957.66,0
13824,33,5,1698.94,0
13826,177,1,189.5,2
13827,58,3,409.8,0
13828,23,1,209.49,2
13831,17,6,2198.45,1
13832,20,1,52.2,2
13833,160,1,383.85,2
13835,26,4,834.57,0
13837,212,2,266.59,2
13838,6,4,674.82,0
13841,253,1,85,2
13842,59,9,3385.62,1
13844,12,1,361.62,0
13845,65,1,312.98,2
13846,25,3,865.06,0
13848,93,3,1255,0
13849,52,2,1537.95,0
13850,130,1,1595.48,2
13851,96,3,2651.46,0
13853,58,1,1090.14,2
13854,9,25,8109.52,1
13856,169,3,388.5,2
13858,58,1,216.17,2
13859,327,1,201.16,2
13860,2,5,1245.9,1
13862,19,8,2209.36,1
13863,248,1,305.78,2
13865,59,4,501.56,0
13866,75,1,145.67,2
13867,32,3,1005.09,0
13868,8,2,3192.54,0
13869,124,4,3083.65,0
13870,3,8,2770.94,1
13871,23,13,6403.25,1
13873,120,3,389.6,2
13874,359,1,540.45,2
13875,54,5,1786.79,0
13876,64,1,122.7,2
13877,87,1,117.24,2
13878,55,1,1271.57,0
13880,22,13,3219.77,1
13881,4,20,17159.52,1
13882,3,5,1191.13,1
13883,11,5,2674.48,1
13884,8,5,787.6,0
13885,190,2,506.8,2
13886,72,1,243.56,2
13887,205,1,349.55,2
13888,120,2,595.67,2
13889,93,1,416.9,2
13890,2,10,1883.81,1
13892,27,4,632.97,0
13893,298,1,821.1,2
13894,24,3,564.62,0
13895,29,4,2593.07,0
13897,51,1,311.16,2
13898,326,1,155.93,2
13899,17,2,388.52,0
13900,184,3,740.95,0
13901,73,5,2867.2,0
13904,38,2,332.64,0
13908,80,4,2369.55,0
13911,58,9,2580.91,1
13914,12,2,626.45,0
13917,50,2,272.04,2
13918,50,2,1212.84,0
13922,352,1,172.25,2
13923,54,1,351.13,2
13924,2,6,1838.85,1
13925,93,4,678.25,0
13926,24,1,223.85,2
13927,75,1,348.99,2
13928,11,4,464.57,0
13929,170,2,842.65,2
13930,58,2,337.34,2
13931,96,2,1237.53,0
13932,295,1,307.4,2
13933,110,2,608.79,2
13934,264,1,922.1,2
13936,180,1,376.58,2
13937,170,1,158.85,2
13938,36,1,71.66,2
13939,24,3,568.55,0
13940,18,4,839.14,0
13941,22,5,5112.96,1
13946,80,3,561.57,0
13947,66,1,90.6,2
13948,361,1,102,2
13949,3,6,2427.32,1
13950,12,4,745.06,0
13951,177,3,674.45,0
13952,218,2,3251.071,0
13953,8,7,3515.68,1
13954,2,2,439.92,0
13955,155,2,322.96,2
13956,6,5,1019.27,1
13959,80,3,594.04,0
13960,22,2,230.22,0
13962,22,2,169.55,2
13963,309,4,664.54,0
13967,146,1,80.7,2
13969,8,18,9024.17,1
13971,19,8,2758.26,1
13972,71,2,190.25,2
13973,288,1,264.7,2
13974,50,1,413.59,2
13975,32,6,2461.24,0
13976,207,1,357.98,2
13978,15,2,196.79,0
13979,74,1,869.87,2
13980,61,1,200.14,2
13982,40,4,1871.81,0
13983,30,12,2603.43,1
13984,27,5,920.51,0
13985,5,15,7060.13,1
13986,18,1,320.46,2
13988,20,6,4147.96,1
13989,66,2,1266.08,0
13990,214,1,311.3,2
13991,13,6,852.88,0
13992,31,1,76.8,2
13993,43,9,3466.36,1
13994,4,6,2274.14,1
13995,16,5,1393.69,0
13999,11,12,3901.81,1
14000,212,1,635.66,2
14001,46,3,2043.08,0
14002,135,2,529.73,2
14004,44,7,4582.64,1
14005,10,5,2874.72,1
14006,116,3,962.19,0
14009,199,2,695.61,2
14012,278,1,328.8,2
14013,111,3,473.02,0
14014,78,1,505.18,2
14015,53,1,917.34,2
14019,47,3,1421.61,0
14020,17,2,642.8,0
14021,156,3,631.9,0
14022,226,1,440,2
14023,8,2,584.07,0
14024,122,2,327.7,2
14027,61,1,104.82,2
14029,64,2,467.66,0
14030,19,8,2358.84,1
14031,8,19,17286.86,1
14032,3,11,2975.59,1
14034,23,3,648.89,0
14035,29,5,1428.02,0
14036,285,1,626.65,2
14037,177,2,147.2,2
14038,79,3,1560.38,0
14039,34,1,152.2,2
14040,41,12,3560.32,1
14041,267,1,141.41,2
14044,27,4,646.42,0
14045,110,4,1659.75,0
14046,285,1,154.99,2
14047,9,5,1308.61,1
14048,306,1,409.93,2
14049,17,4,5578.72,1
14050,32,2,746.36,0
14051,1,23,15610.39,1
14052,20,1,225.36,2
14053,125,2,260.25,2
14054,66,1,92.46,2
14055,107,1,725.64,2
14056,2,23,8152.71,1
14057,24,17,6211.66,1
14059,267,1,183.6,2
14060,5,19,6140.42,1
14062,10,12,10464.85,1
14064,30,5,1334.34,0
14066,267,1,152.55,2
14067,64,2,374.7,2
14068,321,1,265.85,2
14071,4,8,1437.57,1
14073,33,1,151.04,2
14075,5,3,942.26,0
14076,130,1,118.67,2
14077,41,5,499.42,0
14078,102,6,1049.37,0
14079,125,1,375.1,2
14080,33,1,45.6,2
14081,303,2,921.62,2
14082,365,1,182.25,2
14083,5,9,1002.9,1
14085,3,18,4421.29,1
14087,3,1,191.47,0
14088,11,13,50491.81,1
14089,57,1,158.75,2
14090,325,1,76.32,2
14092,8,14,4076.91,1
14093,13,1,433.86,0
14096,5,17,65164.79,1
14098,37,1,147.35,2
14099,17,11,3104.17,1
14100,138,1,191.95,2
14101,74,6,5976.79,1
14102,6,5,1105.88,1
14104,155,2,216.21,2
14105,240,1,1266.23,2
14107,52,7,2703.23,0
14108,31,2,597.91,0
14109,73,1,144.2,2
14110,4,12,5683.15,1
14111,15,4,692.85,0
14112,23,7,2915.15,1
14113,4,4,1840.42,1
14114,274,2,386.53,2
14116,20,5,1382.74,0
14117,144,1,90,2
14121,4,4,2780.15,1
14124,85,1,419.58,2
14125,11,3,2720.63,0
14126,8,3,706.13,0
14127,123,3,709.71,0
14128,61,2,637.5,0
14129,2,5,1123.86,1
14130,320,1,480.91,2
14132,3,11,3586.03,1
14133,130,3,605.64,0
14135,2,15,4690.31,1
14138,2,2,965.88,0
14139,47,1,415.82,2
14140,4,2,935.05,0
14141,3,4,915.13,1
14142,374,1,311.81,2
14143,134,1,115.8,2
14145,47,4,3742.2,0
14146,9,5,4191,1
14147,79,2,483.4,2
14148,234,1,157.2,2
14149,221,1,446.62,2
14150,36,2,658.64,0
14152,76,2,621.29,0
14154,240,2,1345.62,0
14155,267,1,118.75,2
14157,20,2,424.89,0
14158,41,1,507.66,2
14159,20,11,4630.35,1
14161,216,3,1097.62,0
14162,174,2,289.36,2
14163,88,4,2445.91,0
14164,71,2,1631.77,0
14165,276,1,120.44,2
14167,40,4,562.59,0
14171,99,1,363.79,2
14173,11,4,450.84,0
14174,34,1,134.46,2
14175,60,3,3222.3,0
14176,298,4,576.9,0
14177,87,4,549.46,0
14178,9,7,1600.26,1
14179,41,2,701.57,0
14180,11,25,4748.52,1
14184,67,1,452.89,2
14185,332,1,197.65,2
14188,31,6,2054.36,0
14189,3,15,4654.08,1
14191,2,13,4684.76,1
14193,68,2,853.39,0
14194,5,21,11349.52,1
14195,202,2,1012,2
14196,107,1,335.52,2
14198,19,4,701.4,0
14199,219,1,185.4,2
14201,61,7,747.44,0
14204,3,1,150.61,0
14205,17,2,466.7,0
14206,240,1,328.16,2
14208,95,1,151.74,2
14209,11,6,2073.43,1
14210,106,6,1905.84,0
14211,54,9,2241.1,1
14212,90,1,1070.48,2
14214,31,5,1004.38,0
14215,12,6,1789.72,1
14216,4,4,1839.3,1
14217,2,17,2004.98,1
14218,43,1,169.48,2
14219,5,1,89.94,2
14220,248,2,632.4,2
14221,43,9,3432.8,1
14222,178,1,683.17,2
14223,93,3,991.13,0
14224,111,4,1009.73,0
14226,29,5,2214.79,0
14227,27,10,3350.96,1
14229,52,3,1547.2,0
14231,184,3,925.71,0
14232,43,5,2048.07,0
14233,50,4,1462.72,0
14234,23,4,754.12,0
14235,76,5,3144.86,0
14236,81,2,490.86,2
14237,374,1,161,2
14238,327,1,146.85,2
14239,44,11,2380.85,1
14240,31,2,890.34,0
14241,184,1,213.7,2
14242,235,2,280.55,2
14243,9,10,2588.77,1
14245,220,2,1693.45,0
14246,111,3,1474.06,0
14247,279,1,136.77,2
14248,319,1,302.58,2
14250,8,3,1904.05,0
14251,2,5,2879.7,1
14256,261,2,969.06,2
14257,65,5,3099.72,0
14258,10,9,12669.98,1
14259,142,1,120,2
14261,51,2,1163.45,0
14262,9,8,2618.23,1
14264,155,2,333.97,2
14267,163,3,1516.24,0
14270,332,1,492.65,2
14271,226,1,112.32,2
14272,74,2,437.96,2
14273,52,4,559.97,0
14276,99,3,1119.74,0
14280,197,1,134.04,2
14282,4,15,3701.44,1
14284,31,2,595.25,0
14285,22,4,1910.01,0
14286,24,3,4628.75,0
14287,9,3,176.63,0
14288,214,1,426.6,2
14289,9,6,911.26,0
14290,12,5,2314.65,1
14291,2,11,3883.25,1
14292,8,9,4871.93,1
14293,4,4,1046.56,1
14295,41,1,166.2,2
14297,18,4,1305.33,0
14298,9,44,51527.3,1
14299,9,9,3965.62,1
14300,19,1,43.2,2
